Review ID,Rating,Feedback,ShowTime ID
1,9,bad characters,2757
2,78,movie was predictable,9869
3,28,good plot,2025
4,7,dirty theater,5447
5,61,movie was boring,4885
6,70,comfortable seats,8706
7,83,bad characters,1965
8,86,movie too long,7371
9,39,comfortable seats,7613
10,68,good characters,6655
11,47,uncomfortable seats,9789
12,62,good length film,3755
13,20,comfortable seats,8052
14,21,uncomfortable seats,514
15,49,movie was predictable,1768
16,80,clean theater,7074
17,24,movie was boring,2365
18,11,bad plot,5061
19,30,bad plot,6827
20,31,good plot,3648
21,78,good characters,3801
22,38,movie was boring,6230
23,35,comfortable seats,4469
24,78,movie was engaging,2778
25,27,comfortable seats,8622
26,41,good characters,2897
27,23,good length film,4178
28,58,clean theater,3563
29,48,clean theater,6664
30,70,good plot,4316
31,32,good characters,2569
32,41,good characters,8473
33,14,dirty theater,5075
34,86,bad plot,9655
35,19,good plot,4572
36,56,bad plot,9923
37,56,dirty theater,6624
38,71,comfortable seats,2607
39,34,bad plot,5439
40,41,comfortable seats,8925
41,82,good length film,8989
42,7,dirty theater,8676
43,23,dirty theater,8946
44,80,movie was engaging,7398
45,42,good characters,4428
46,48,movie too long,9953
47,74,good length film,9313
48,52,good plot,7362
49,39,good length film,5987
50,28,movie too long,5265
51,21,good length film,2065
52,65,movie was predictable,9491
53,65,comfortable seats,6512
54,43,uncomfortable seats,45
55,19,bad characters,6669
56,39,good characters,3527
57,15,bad plot,8937
58,49,dirty theater,1989
59,74,good plot,3323
60,29,movie was engaging,9297
61,16,good characters,131
62,78,dirty theater,483
63,73,good characters,6589
64,75,bad characters,1214
65,70,good plot,3714
66,5,good characters,6691
67,87,bad characters,2669
68,89,movie was engaging,8591
69,56,clean theater,7838
70,72,good length film,9179
71,32,movie too long,1988
72,35,movie too long,9588
73,58,clean theater,4987
74,6,dirty theater,333
75,74,movie was predictable,1939
76,83,uncomfortable seats,4112
77,53,good characters,7615
78,2,dirty theater,2772
79,57,movie was engaging,9642
80,66,movie was predictable,3970
81,45,clean theater,5614
82,46,bad characters,9085
83,77,uncomfortable seats,609
84,54,good plot,2341
85,65,dirty theater,6096
86,82,uncomfortable seats,5505
87,90,movie was boring,9962
88,21,bad characters,7819
89,89,good characters,5678
90,79,movie was engaging,588
91,80,clean theater,4279
92,83,good characters,6478
93,3,clean theater,1623
94,45,good length film,4572
95,55,movie too long,4825
96,41,movie too long,5419
97,69,movie was engaging,6288
98,63,good length film,1791
99,14,uncomfortable seats,9291
100,46,movie too long,2424
101,82,good length film,9011
102,64,good characters,4951
103,48,uncomfortable seats,327
104,43,movie too long,921
105,27,clean theater,7076
106,36,good characters,9217
107,11,movie was boring,1736
108,4,movie too long,1643
109,86,movie too long,5462
110,48,clean theater,7523
111,31,bad characters,1089
112,35,movie was predictable,1054
113,74,good plot,6796
114,52,good length film,4183
115,90,movie was predictable,5599
