Index,Movie Name,Genre
1,The Shawshank Redemption,Drama
2,Inception,Sci-Fi
3,The Dark Knight,Action
4,Forrest Gump,Drama
5,The Godfather,Crime
6,Pulp Fiction,Crime
7,The Matrix,Sci-Fi
8,Gladiator,Action
9,Schindler's List,Biography
10,Fight Club,Drama
11,The Lion King,Animation
12,Interstellar,Sci-Fi
13,The Social Network,Biography
14,Avengers: Endgame,Action
15,The Prestige,Drama
16,The Departed,Drama
17,Whiplash,Drama
18,Goodfellas,Crime
19,The Revenant,Drama
20,The Grand Budapest Hotel,Comedy
21,The Silence of the Lambs,Thriller
22,The Wolf of Wall Street,Drama
23,Star Wars: A New Hope,Action
24,12 Angry Men,Drama
25,Back to the Future,Sci-Fi
26,The Big Lebowski,Comedy
27,Jaws,Thriller
28,The Big Short,Comedy
29,Moonlight,Drama
30,"The Good, the Bad, and the Ugly",Western
